Date|Adj_Close|Volume|Var%|Fechamento|score|neu_rob|neg_finbert|scored1|scored2|scored3|scored4|neu_robd1|neu_robd2|neu_robd3|neu_robd4|neg_finbertd1|neg_finbertd2|neg_finbertd3|neg_finbertd4
2020-04-28|11.500370979309082|91613600|-0.5876358527926895|0|3|0.1134725883603096|0.0|239.0|-4.0|-23.0|-12.0|0.4033428430557251|0.32791680097579956|0.3906559944152832|0.38497644662857056|0.0|0.0|0.0|0.0
2020-10-26|13.50070571899414|58229100|0.17393654024587255|1|-75|0.23593442142009735|0.0|3.0|239.0|-4.0|-23.0|0.1134725883603096|0.4033428430557251|0.32791680097579956|0.3906559944152832|0.0|0.0|0.0|0.0
2022-05-03|27.145206451416016|52531000|1.0106509256938645|1|336|0.32049545645713806|0.0|-75.0|3.0|239.0|-4.0|0.23593442142009735|0.1134725883603096|0.4033428430557251|0.32791680097579956|0.0|0.0|0.0|0.0
2020-03-24|8.83314037322998|114259200|-0.6745966773529842|0|0|0.055983539670705795|0.0|336.0|-75.0|3.0|239.0|0.32049545645713806|0.23593442142009735|0.1134725883603096|0.4033428430557251|0.0|0.0|0.0|0.0
2021-05-06|16.194787979125973|54091600|0.8334122740997594|1|27|0.2618158459663391|0.0|0.0|336.0|-75.0|3.0|0.055983539670705795|0.32049545645713806|0.23593442142009735|0.1134725883603096|0.0|0.0|0.0|0.0
2020-11-27|17.000890731811527|49863500|0.04977544341578044|1|0|0.7666454911231995|0.0|27.0|0.0|336.0|-75.0|0.2618158459663391|0.055983539670705795|0.32049545645713806|0.23593442142009735|0.0|0.0|0.0|0.0
2021-09-09|18.619718551635746|156617100|0.09522017671668936|1|96|0.49345672130584717|0.0|0.0|27.0|0.0|336.0|0.7666454911231995|0.2618158459663391|0.055983539670705795|0.32049545645713806|0.0|0.0|0.0|0.0
2021-06-04|19.640485763549805|102757300|0.05482183895977255|1|0|0.3091462552547455|0.0|96.0|0.0|27.0|0.0|0.49345672130584717|0.7666454911231995|0.2618158459663391|0.055983539670705795|0.0|0.0|0.0|0.0
2020-01-08|20.332889556884766|48215600|0.03525390367991665|1|-2|0.7075082063674927|0.0|0.0|96.0|0.0|27.0|0.3091462552547455|0.49345672130584717|0.7666454911231995|0.2618158459663391|0.0|0.0|0.0|0.0
2022-01-17|25.83822059631348|35675900|0.2707598948996697|1|174|0.4103476405143738|0.0|-2.0|0.0|96.0|0.0|0.7075082063674927|0.3091462552547455|0.49345672130584717|0.7666454911231995|0.0|0.0|0.0|0.0
2022-02-01|27.06861114501953|57315200|0.047619012467197575|1|12|0.36575669050216675|0.0|174.0|-2.0|0.0|96.0|0.4103476405143738|0.7075082063674927|0.3091462552547455|0.49345672130584717|0.0|0.0|0.0|0.0
2022-02-14|27.06861114501953|55687000|0.0|1|-1|0.428665429353714|0.0|12.0|174.0|-2.0|0.0|0.36575669050216675|0.4103476405143738|0.7075082063674927|0.3091462552547455|0.0|0.0|0.0|0.0
2022-02-18|27.06861114501953|60304700|0.0|1|5|0.2751108407974243|0.0|-1.0|12.0|174.0|-2.0|0.428665429353714|0.36575669050216675|0.4103476405143738|0.7075082063674927|0.0|0.0|0.0|0.0
