,title,media,date,desc
91,Braskem está no centro de uma disputa feroz entre Petrobras e Odebrecht,VEJA,2020-10-01,"Hoje a petroquímica está no centro de um imbróglio que envolve dois  mastodontes corporativos nacionais, um estatal e o outro privado: os sócios  Petrobras e..."
92,STJ derruba decisão da CGU e libera aposentadoria de ...,Revista Forum,2020-10-01,"O presidente do STJ, João Otávio Noronha, acatou recurso apresentado pelo  ex-presidente da Petrobras. Ad. Sérgio Gabrielli (Foto: Agência Petrobras  de..."
93,Bolsonaro defende mais engarrafadoras de gás para reduzir preço,Agência Brasil,2020-10-01,"O último reajuste do gás liquefeito de petróleo (GLP), conhecido como gás  de cozinha, foi feito em dezembro pela Petrobras, e, com isso, o produto  ficou,..."
94,"Pré-Sal Petróleo arrecada 47,5% mais em 2019 com venda de óleo e gás",Agência Brasil,2020-10-01,"A Petrobras anunciou a chegada da plataforma de petróleo, P-67, ancorada  na. © Tania Regô/Agência Brasil."
95,BlackRock entra em iniciativa climática de US$ 41 trilhões,Money Times,2020-10-01,"... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, ... Petrobras (PETR4), dividendos e mais: Veja os destaques da  semana no..."
96,Brasil entre EUA e Irã,ISTOÉ DINHEIRO,2020-10-01,"Se, por um lado, a alta no preço do barril é boa para a Petrobras, por  outro, com a economia ainda reticente o avanço dos valores do combustível  para o..."
97,"Ambev: fique com a cerveja, mas esqueça as ações",Money Times,2020-10-01,"Petrobras (PETR3:PETR4) salta quase 6%; o que motiva a alta das ações nesta  segunda? Leia mais sobre: Ambev, Bebidas, Capital Research, Cervejas,  Comprar ou..."
98,Funcionários da Globo vão parar atividades nesta sexta-feira e podem entrar em estado de greve,Conexão Política,2020-10-01,"Bolsonaro diz que Petrobras “traiu o povo” e propõe criação de CPI.  Critério para renovar concessão da Globo será “100% técnico”, diz Fábio  Faria."
99,Tarcísio de Freitas: A saída é privatizar,VEJA,2020-10-01,"Trabalhamos com a Petrobras e o Ministério de Minas e Energia para criar o  cartão Petrobras, que garante o preço do combustível na estrada."
100,"STJ retoma aposentadoria de Gabrielli, ex-presidente da Petrobras - Aqui Notícias",Aqui Notícias,2020-11-01,"O presidente do Superior Tribunal de Justiça (STJ), ministro João Otávio de  Noronha, restabeleceu o pagamento de aposentadoria ao ex-presidente da  Petrobras..."
101,10 dicas para não fazer dívidas,Money Times,2020-11-01,Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
102,Veja o que esteve em alta no Google no Brasil em 2019,ISTOÉ DINHEIRO,2020-11-01,Ata da Petrobras revela que Paes de Andrade recusou entrevista com Comitê  ... não ter recebido orientações do governo sobre política de preços da  Petrobras.
103,MBL vende caderno autografado por deputado num valor 5 ...,Conexão Política,2020-11-01,"Bolsonaro diz que Petrobras “traiu o povo” e propõe criação de CPI ·  Critério para renovar concessão da Globo será “100% técnico”, diz Fábio  Faria."
104,Orlando Morando e presidente da Havan celebram a chegada ...,Abc do Abc,2020-11-01,Poder do novo presidente da Petrobras será limitado. Empresa desmente  reportagem veiculada no dia 16 de junho - Continue lendo. Petrobras nega  reserva de R$...
